"Client Name","ID","Description","Assigned User","Assigned To","Date Created","Date Modified","Created By","Modified By","Deleted","primary contact (related  ID)","Client Type","City","Address Line 1","Address Line 2","Postal Code","Province","Phone","Fax","no_employees","Website","ddd","Client Type","Legal Form of Business","Number of Employees","Industry Sector","Years in Business","Organization Type","Goverment","Country","Email","Extension","NAICS Code","Modified By Name","modified_by_name_owner","modified_by_name_mod","Created By","created_by_name_owner","created_by_name_mod","assigned_user_name_owner","assigned_user_name_mod","Primary Contact"
"Canadian Timberframes","64697ef5-ff9d-3710-9b68-537cff5aecd8","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","","","","B.C.","1-877-348-99","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Rocky Mtn Printers","6506a8a8-9b09-df08-f83e-537cff03bc8b","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Cranbrook","42-8th Avenue South Cranbrook, BC V1C 2K3","","V1C 2K3","B.C.","250-581-0959","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Okanagan College","65f98f28-a6e0-cbda-467e-537cffee5f31","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Revelstoke","PO Box 3118, Revelstoke, BC V0E 2S0","","V0E 2S0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","RMyers@okanagan.bc.ca","","","admin","","Users","admin","","Users","","Users",""
"International Timberframes","67275959-b47e-29e2-e55b-537cff25e593","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","","","","B.C.","250-344-1067","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Creston AG Society","6893a5f3-5568-1114-83ad-537cff2821da","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","Box 67, Creston","","","B.C.","1-250-428-29","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Real Food CafÃ©","6b1da2e5-1a17-1746-5209-537cff848a4d","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","223 10 Ave N, Creston, BC V0BÂ 1G4","","V0BÂ 1G4","B.C.","250-428-8882","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Echo Oils","6c40ce1f-cd5d-b84f-daac-537cff56c642","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Christina Lake","2148 Haaglund Rd Christina Lake","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Sufferfest","6c5d5c98-505b-6549-690e-537cffe19b76","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nakusp","94 4th Ave, Nakusp B.C. V0G 1R0","","V0G 1R0","B.C.","250-265-8707","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Grassroots Property Care","6faf6d59-e4cc-1b83-35a9-537cff10c497","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Christina Lake","Box 405, Christina Lake","","","B.C.","250-447-7644","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","grassrootspropertycare@outlook.com","","","admin","","Users","admin","","Users","","Users",""
"Amore's Ristorante","6fdf90ed-6c0c-17a5-b50b-537cff453251","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","876 Rossland AvenueTrail, BC V1R 3N3","","V1R 3N3","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","amoresristorante@shaw.ca","","","admin","","Users","admin","","Users","","Users",""
"Urban Systems","700a7c57-31ee-3a37-cba5-537cffef3afa","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nelson","204 Â 625 Front St. Nelson, BC V1L 4B6","","V1L 4B6","B.C.","250-352-9774","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Lemon Creek Lodge","72e31dcb-079f-25a7-9de2-537cff8d0a1c","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Slocan","7680 Kennedy Road, Slocan BC V0G 2C0","","V0G 2C0","B.C.","250-355-2403","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Castlegar Chamber of Commerce","7503ba30-0217-4927-3344-537cffb6a798","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","1995 6 Ave, Castlegar, BC V1N 4W3","","V1N 4W3","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Royal Coachman Campground","75a0eaa5-437f-0b63-a06f-537cffa1fc44","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nakusp","1701 Hwy 23, Nakusp, B.C. V0G 1R0","","V0G 1R0","B.C.","250-265-4212","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Olson Construction","7710c13f-0881-d54b-11e2-537cff0e6f72","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","","","","B.C.","250-344-0277","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"IPPI","77c19461-fbf6-56f7-130b-537cffe5f5c3","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Vancouver","3718 Oak Street Vancouver, BC V6H 2M3","","V6H 2M3","B.C.","778-984-5555","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"WL D-synz","77de2cce-9323-91d0-79c2-537cff03f854","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","2628 10th Avenue, Castlegar BC V1N 3A2","","V1N 3A2","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Creston Chamber of Commerce","78ef54b5-dab5-c68b-2bd9-537cff99ddb1","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","121 NW Blvd., Hwy 3 Creston, BC V0B 1G0","","V0B 1G0","B.C.","250-428-4342","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Redwood Engineering Ltd.","7b796ee7-cd5a-1437-e088-537cffc8bde1","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","3120 Highway Drive Trail, BC V1R 2T3","","V1R 2T3","B.C.","250-364-1688","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Ed Chernoff Photography","7c9c7686-adb5-9924-7c1f-537cff7fe896","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","1057 Bridgeview CrescentCastlegar, BC V1N 4L1","","V1N 4L1","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","echernoff@shaw.ca","","","admin","","Users","admin","","Users","","Users",""
"Sunflower Inn Bed & Breakfast","7cb91d1f-1698-0bca-fa02-537cffc211c6","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Christina Lake","159 Alpine Road, Christina Lake","","","B.C.","250-447-6201","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","info@sunflowerinnbb.com","","","admin","","Users","admin","","Users","","Users",""
"Applied Industrial Technologies","7ffcca41-2c78-22a6-9934-537cff0a7698","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","2237 6Th Ave. Castlegar, BC V1N 2W1","","V1N 2W1","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Great Canadian Helli Skiing","800b1eb3-d06f-3ea3-6f32-537cff3fdb89","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Golden","P.O. Box 175 Golden, BC V0A 1H0","","V0A 1H0","B.C.","250-344-2326","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Vallhalla Technologies","80663b5b-19e7-db22-c155-537cff3f4c0e","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Lisa's Lakeside Bistro","833edf44-79ec-fdf1-37a8-537cff8b8593","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Christina Lake","1675 Highway 3, Christina Lake","","","B.C.","250-447-6161","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","anorthernholiday@gmail.com","","","admin","","Users","admin","","Users","","Users",""
"Placedroid","83bb0535-b66b-b246-0f44-537cffd3d6c2","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Kimberley","Kimberley, BC","","","B.C.","403-333-3526","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Cedarpoint rentals","855f7180-73e0-cff5-5b82-537cff7ae7ea","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Christina Lake","Box 332 2054 Lake Dr. Christina Lake","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Royal Lepage Selkirk Realty","863b25cb-fc2a-7680-919b-537cff9db62a","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nakusp","306 Broadway, Nakusp, B.C V0G 1R0","","V0G 1R0","B.C.","250-265-3635","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Women's Journey To Fitness","8839e688-d0ba-1f9f-89a1-537cff3c0469","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","1580 Lily StreetTrail, BC V1R 2S3","","V1R 2S3","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","womensjourney2fitness@yahoo.ca","","","admin","","Users","admin","","Users","","Users",""
"JBS Business Services","885bdb08-9b08-4b5f-949c-537cff454ba5","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","778 Rossland Ave. Trail, BC V1R 3N3","","V1R 3N3","B.C.","250-364-2235","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Wendy Phelan -no business","8888031a-7279-42bf-5547-537cffff1c11","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","Box 145 V0H 1E0","","V0H 1E0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Overland West Freightlines","88a50196-05ef-7b46-132a-537cff8b31cd","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","1077 Columbia Road Castlegar, BC V1N 4K5","","V1N 4K5","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Creston Golf Club","89c813c3-f6ee-8c7e-2782-537cffd3f3ec","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","1800 Mallory Rd, Creston, BC V0B 1G2","","V0B 1G2","B.C.","250-428-5515","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"EMPAC Engineering Ltd.","8d36bc2b-6eec-7ff5-67fc-537cff2a89eb","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Sunrise Hideaway Cottage","8d535ffa-9f76-bbb9-2276-537cffe8d72a","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","1698 West Lake Drive","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Greater Trail Community Skills Centre","90a55e9d-ee86-d79d-d46a-537cff0e453b","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","123 - 1290 EsplanadeTrail, BC V1R 4T2","","V1R 4T2","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","kmolnar@communityskillscentre.com","","","admin","","Users","admin","","Users","","Users",""
"Arrow and Slocan Lakes Community Services","92c999ca-2806-f5cc-d53d-537cffcc8aa0","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nakusp","205 6th Ave. NW, Nakusp B.C. V0G 1R0","","V0G 1R0","B.C.","250-265-3318","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Lordco Parts Ltd.","93d90962-59ed-19a7-54e9-537cff0f202d","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Trail","845 Victoria St. Trail, BC V1R 3E3","","V1R 3E3","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Morris Flowers Inc","95152ee1-ee42-851f-f65f-537cfff03e06","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","1403 Erickson Rd RR 3, Creston, BC V0BÂ 1G3","","V0BÂ 1G3","B.C.","250-428-5262","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Destiny Bay Store","95ec0e49-e407-83ae-5acd-537cffb5e21c","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Kitchener","104 Leadville Rd RR 1, Kitchener, BC V0BÂ 1W1","","V0BÂ 1W1","B.C.","250-428-5011","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Central City Shoes / West Kootenay Social Enterprise Society","95f9b3b2-c58c-c09c-4595-537cffa4a5ff","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nelson","359 Columbia Avenue, Castlegar BC V1N 1G6 / 532 Josephine St, Nelson BC V1L 1W6","","V1L 1W6","B.C.","250-365-0773","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Secure By Design","9619e327-200e-30a9-598c-537cffbfe3c0","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nelson","201 Â 625 Front St. Nelson, BC V1L 4B6","","V1L 4B6","B.C.","877-373-6121","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Vanishing Falls B&B","971b0ea8-1dea-54c6-0a40-537cffec66c7","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Slocan Park","2935 Upper Slocan Park Road, RR1 Site 2 Comp 14, Slocan Park BC V0G 2E0","","V0G 2E0","B.C.","250-226-6929","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Spearhead Timberworks","97b60584-2f30-d995-3509-537cffcd893e","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nelson","4655 Highway 3A Nelson, BC V1L 6N3","","V1L 6N3","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Woodnoteacres","9895a8bd-e9e0-8126-e9fd-537cffcbbb12","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Christina Lake","1408 Thompson Rd, Christina Lake","","","B.C.","403-330-6556","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","ibbotson_bob@yahoo.ca","","","admin","","Users","admin","","Users","","Users",""
"Journeywomen Ventures","98b789a9-f631-b374-5269-537cffafd08e","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","","","","B.C.","250-352-5320","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Parklane motel and RV Park","993f46dc-394f-aa74-ad49-537cff4c861d","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Grand Forks","31 Kingsley Rd. Grand Forks BC V0H 1E0","","V0H 1E0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Creston Valley Bakery","9a625ecb-ec4e-3da4-b36a-537cff5196f9","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","113 10 Ave N, Creston, BC V0B 1G2","","V0B 1G2","B.C.","250-428-2661","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Excel Tire","9d9271f8-29ac-6835-2c14-537cffdd057b","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Revelstoke","722 S Highway 23, Revelstoke","","","B.C.","250-837-6181","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Sweet Pea Arts","9e2c1f41-3f7a-5bb5-f9ef-537cfff4548e","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nakusp","524 Kangaroo Trail, Nakusp, B.C. V0G 1R0","","V0G 1R0","B.C.","250-265-3054","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Grizzly Books","a17e1f9c-6619-b1c7-7457-537cff644e44","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Revelstoke","208 Mackenzie, Revelstoke, BC V0E 2S0","","V0E 2S0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Ashland Training","a3255c61-6c41-6ddd-e4b2-537cffd27183","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","1414 Columbia Ave. Castlegar, BC V1N 3K3","","V1N 3K3","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Loss Creek Logging Ltd.","a434ca70-bad6-ee5d-b4a6-537cffcfb396","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","2240 Highway 3A, Creston","","","B.C.","250-428-5964","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","loss.creek@shawbiz.ca","","","admin","","Users","admin","","Users","","Users",""
"Chantilly Bed and Bath","a693f9bf-890b-5d75-cd45-537cff03e643","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Revelstoke","215 MacKenzie Ave., Revelstoke, BC V0E 2S0","","V0E 2S0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","chantilly@rctvonline.net","","","admin","","Users","admin","","Users","","Users",""
"Serenety Wellness and Spa","a6b428f6-3506-e677-6b19-537cffc98f2e","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","J-19 West Lake Dr","","","B.C.","1-877-707-80","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Vic Van Isle Construction","a7b544a2-f338-0ecd-5ddd-537cff010627","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Revelstoke","Box 2988, Revelstoke, BC V0E 2S0","","V0E 2S0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"WSA Engineering","a92fe69a-29a6-afaf-df68-537cffa4adcd","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","2248 Columbia Ave. Castlegar, BC V1N 2X1","","V1N 2X1","B.C.","250-365-3696","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Parks Canada","a99b0cd7-6ef3-c4cc-8ca1-537cff242103","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Revelstoke","PO Box 350, Revelstoke, BC V90E 2S0","","V90E 2S0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"D & D Service Centre & Storage Ltd.","aa7f905e-1ee8-176f-31dd-537cff521827","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Christina Lake","1648 Maida Frontage Rd. Box 49, Christina Lake","","","B.C.","250-447-9337","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","info@ddservicecentre.com","","","admin","","Users","admin","","Users","","Users",""
"Mountain Baby","ac857d1a-bb62-f40d-f089-537cff9e4f97","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nelson","636 Baker Street, Nelson, BC","","","B.C.","250.352.1789","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Fireside Inn","adee3c88-737a-6c87-5602-537cff558f5e","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","1810 8th Avenue, Castlegar BC V1N 2Y2","","V1N 2Y2","B.C.","250-365-2128","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Tabletree Enterprises","ae495375-1752-efa4-90d0-537cff6ff0c4","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","3020 Erickson Rd, Creston, BC, V0B 1G1","","V0B 1G1","B.C.","1-250-428-24","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","snowz@shaw.ca","","","admin","","Users","admin","","Users","","Users",""
"K. H. Consulting","b19ee6c0-e0e0-7916-f03c-537cff14ab30","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Nelson","320 Vernon St. Nelson, BC V1L 4E4","","V1L 4E4","B.C.","250-352-5371","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Hacienda Inn","b2185870-53fb-3b7a-a265-537cff6358cc","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","800 NW Blvd. Creston BC, V0B 1G4","","V0B 1G4","B.C.","1-800-567-22","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"ATCO  Wood Products","b3bf91bc-c360-1207-8eb8-537cffd550d0","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Fruitvale","P. O. Box 460 Fruitvale, BC V0G 1L0","","V0G 1L0","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Maggies Mug","b4cf0014-86dc-04e0-47ab-537cffa6013d","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Castlegar","502 Columbia Avenue, Castlegar BC V1N 1G7","","V1N 1G7","B.C.","250-304-4447","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Shoesmith Enterprises","b70fd41a-aeb9-c542-ba86-537cffcf461d","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","","","","","B.C.","","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","","","","admin","","Users","admin","","Users","","Users",""
"Cherrybrook Farms","b72e33f3-81a6-93da-7da0-537cff55787d","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Creston","2931 Highway 3, Creston","","","B.C.","250-428-3070","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","cmartin@cherrybrookfarms.ca","","","admin","","Users","admin","","Users","","Users",""
"Vicom Design Inc.","b8cc893e-f855-978a-17d3-537cff73f1e5","","admin","1","05/21/2014 12:33 pm","05/21/2014 12:33 pm","1","1","0","","business_research_support","Grand Forks","1020 Carson Rd. Grand Forks BC","","","B.C.","250-442-3731","","1","","","company","corporation","1","agriculture_fish_wildlife","","for_profit_organization_private","federal","Canada","brian@vicomdesign.com","","","admin","","Users","admin","","Users","","Users",""
